Timestamp,Data,Target,Prediction
Mon Oct 09 15:16:03 2017,23,17,17.293657
Mon Oct 09 15:16:03 2017,24,17,17.096554
Mon Oct 09 15:16:04 2017,24,17,16.9252
Mon Oct 09 15:16:04 2017,24,17,16.86259
Mon Oct 09 15:16:05 2017,24,17,16.79171
Mon Oct 09 15:16:05 2017,24,17,16.83367
Mon Oct 09 15:16:06 2017,24,17,16.846788
Mon Oct 09 15:16:06 2017,24,17,16.906265
Mon Oct 09 15:16:07 2017,24,17,16.973991
Mon Oct 09 15:16:07 2017,24,17,17.00095
Mon Oct 09 15:16:08 2017,24,17,17.035473
Mon Oct 09 15:16:08 2017,23,17,17.060314
Mon Oct 09 15:16:09 2017,23,17,17.072945
Mon Oct 09 15:16:09 2017,23,17,17.079546
Mon Oct 09 15:16:10 2017,23,17,17.111053
Mon Oct 09 15:16:10 2017,23,17,17.12532
Mon Oct 09 15:16:11 2017,22,17,17.110119
Mon Oct 09 15:16:11 2017,23,17,17.06733
Mon Oct 09 15:16:12 2017,22,17,17.123756
Mon Oct 09 15:16:12 2017,22,17,17.111559
Mon Oct 09 15:16:13 2017,23,17,17.092728
Mon Oct 09 15:16:13 2017,23,17,17.077278
Mon Oct 09 15:16:14 2017,23,17,17.046268
Mon Oct 09 15:16:14 2017,22,18,17.060371
Mon Oct 09 15:16:15 2017,22,18,17.471994
Mon Oct 09 15:16:16 2017,22,18,17.785957
Mon Oct 09 15:16:16 2017,21,18,18.02629
Mon Oct 09 15:16:17 2017,22,18,18.180016
Mon Oct 09 15:16:17 2017,22,18,18.249039
Mon Oct 09 15:16:18 2017,22,18,18.31056
Mon Oct 09 15:16:18 2017,22,19,18.26757
Mon Oct 09 15:16:19 2017,22,19,18.712538
Mon Oct 09 15:16:19 2017,22,19,18.946507
Mon Oct 09 15:16:20 2017,21,19,19.202984
Mon Oct 09 15:16:20 2017,21,19,19.305408
Mon Oct 09 15:16:21 2017,21,19,19.41086
Mon Oct 09 15:16:21 2017,21,19,19.408085
Mon Oct 09 15:16:22 2017,21,19,19.358072
Mon Oct 09 15:16:22 2017,21,20,19.299706
Mon Oct 09 15:16:23 2017,21,20,19.67942
Mon Oct 09 15:16:23 2017,21,20,19.945505
Mon Oct 09 15:16:24 2017,21,20,20.152103
Mon Oct 09 15:16:24 2017,21,20,20.262203
Mon Oct 09 15:16:25 2017,21,20,20.344036
Mon Oct 09 15:16:25 2017,21,20,20.297062
Mon Oct 09 15:16:26 2017,21,20,20.22868
Mon Oct 09 15:16:26 2017,20,20,20.21657
Mon Oct 09 15:16:27 2017,20,20,20.19989
Mon Oct 09 15:16:27 2017,20,20,20.15688
Mon Oct 09 15:16:28 2017,20,20,20.161892
Mon Oct 09 15:16:28 2017,20,20,20.125294
Mon Oct 09 15:16:29 2017,20,20,20.070568
Mon Oct 09 15:16:29 2017,20,20,20.083487
Mon Oct 09 15:16:30 2017,20,20,20.061502
Mon Oct 09 15:16:30 2017,20,20,20.116982
Mon Oct 09 15:16:31 2017,20,20,20.067469
Mon Oct 09 15:16:31 2017,20,20,20.08232
Mon Oct 09 15:16:32 2017,20,20,20.066195
Mon Oct 09 15:16:32 2017,20,20,20.066877
Mon Oct 09 15:16:33 2017,20,20,20.096588
Mon Oct 09 15:16:33 2017,20,21,20.083044
Mon Oct 09 15:16:34 2017,20,20,20.488853
Mon Oct 09 15:16:35 2017,20,21,20.40823
